#Les deux fonctions à tester
50 282.192809 28219280.948874 125000.000000 
60 354.413436 35441343.573651 216000.000000 
70 429.049811 42904981.118615 343000.000000 
80 505.754248 50575424.759099 512000.000000 
90 584.266779 58426677.866967 729000.000000 
100 664.385619 66438561.897747 1000000.000000 
110 745.949568 74594956.848771 1331000.000000 
120 828.826871 82882687.147302 1728000.000000 
130 912.907816 91290781.569370 2197000.000000 
140 998.099622 99809962.237230 2744000.000000 
150 1084.322804 108432280.357438 3375000.000000 
160 1171.508495 117150849.518198 4096000.000000 
170 1259.596459 125959645.914341 4913000.000000 
180 1348.533557 134853355.733934 5832000.000000 
190 1438.272566 143827256.558288 6859000.000000 
200 1528.771238 152877123.795494 8000000.000000 
210 1619.991559 161999155.870989 9261000.000000 
220 1711.899137 171189913.697543 10648000.000000 
230 1804.462712 180446271.171721 12167000.000000 
240 1897.653743 189765374.294604 13824000.000000 
250 1991.446071 199144607.116552 15625000.000000 
260 2085.815631 208581563.138740 17576000.000000 
270 2180.740211 218074021.120372 19683000.000000 
280 2276.199245 227619924.474459 21952000.000000 
290 2372.173636 237217363.610433 24389000.000000 
300 2468.645607 246864560.714876 27000000.000000 
310 2565.598566 256559856.563501 29791000.000000 
320 2663.016990 266301699.036396 32768000.000000 
330 2760.886331 276088633.070112 35937000.000000 
340 2859.192918 285919291.828682 39304000.000000 
350 2957.923889 295792388.914132 42875000.000000 
360 3057.067115 305706711.467868 46656000.000000 
370 3156.611140 315661114.039104 50653000.000000 
380 3256.545131 325654513.116576 54872000.000000 
390 3356.858822 335685882.236235 59319000.000000 
400 3457.542476 345754247.590989 64000000.000000 
410 3558.586841 355858684.079723 68921000.000000 
420 3659.983117 365998311.741977 74088000.000000 
430 3761.722925 376172292.532347 79507000.000000 
440 3863.798274 386379827.395085 85184000.000000 
450 3966.201536 396620153.604767 91125000.000000 
460 4068.925423 406892542.343441 97336000.000000 
470 4171.962965 417196296.488555 103823000.000000 
480 4275.307486 427530748.589209 110592000.000000 
490 4378.952590 437895259.011126 117649000.000000 
500 4482.892142 448289214.233104 125000000.000000 
510 4587.120253 458712025.279802 132651000.000000 
520 4691.631263 469163126.277480 140608000.000000 
530 4796.419731 479641973.120880 148877000.000000 
540 4901.480422 490148042.240745 157464000.000000 
550 5006.808295 500680829.462661 166375000.000000 
560 5112.398489 511239848.948918 175616000.000000 
570 5218.246322 521824632.215970 185193000.000000 
580 5324.347272 532434727.220866 195112000.000000 
590 5430.696975 543069697.510703 205379000.000000 
600 5537.291214 553729121.429753 216000000.000000 
610 5644.125914 564412591.379465 226981000.000000 
620 5751.197131 575119713.127003 238328000.000000 
630 5858.501052 585850105.158399 250047000.000000 
640 5966.033981 596603398.072791 262144000.000000 
650 6073.792340 607379234.014528 274625000.000000 
660 6181.772661 618177266.140224 287496000.000000 
670 6289.971581 628997158.118124 300763000.000000 
680 6398.385837 639838583.657364 314432000.000000 
690 6507.012261 650701226.064922 328509000.000000 
700 6615.847778 661584777.828263 343000000.000000 
710 6724.889402 672488940.221835 357911000.000000 
720 6834.134229 683413422.935737 373248000.000000 
730 6943.579437 694357943.725019 389017000.000000 
740 7053.222281 705322228.078207 405224000.000000 
750 7163.060089 716306008.903743 421875000.000000 
760 7273.090262 727309026.233152 438976000.000000 
770 7383.310269 738331026.939834 456533000.000000 
780 7493.717645 749371764.472470 474552000.000000 
790 7604.309986 760430998.602093 493039000.000000 
800 7715.084952 771508495.181978 512000000.000000 
810 7826.040259 782604025.919531 531441000.000000 
820 7937.173682 793717368.159447 551368000.000000 
830 8048.483047 804848304.677446 571787000.000000 
840 8159.966235 815996623.483954 592704000.000000 
850 8271.621176 827162117.637130 614125000.000000 
860 8383.445851 838344585.064694 636056000.000000 
870 8495.438284 849543828.394040 658503000.000000 
880 8607.596548 860759654.790170 681472000.000000 
890 8719.918758 871991875.800985 704969000.000000 
900 8832.403072 883240307.209533 729000000.000000 
910 8945.047689 894504768.892831 753571000.000000 
920 9057.850847 905785084.686883 778688000.000000 
930 9170.810823 917081082.257572 804357000.000000 
940 9283.925930 928392592.977110 830584000.000000 
950 9397.194518 939719451.805739 857375000.000000 
960 9510.614972 951061497.178418 884736000.000000 
970 9624.185709 962418570.896226 912673000.000000 
980 9737.905180 973790518.022252 941192000.000000 
990 9851.771868 985177186.781730 970299000.000000 
1000 9965.784285 996578428.466209 1000000000.000000 
